Year,Police_Strength,Fiscal_Budget_Proxy,Prolonged_Trials,Juveniles_Arrested,Juveniles_Low_Income,Repeat_Offenders,Total_IPC_Crimes,Crimes_Against_Women,Property_Stolen,State
2001,11770.0,423.0,2.0,16.0,32.0,156.0,0.0,0.0,0.0,ANDAMAN & NICOBAR ISLANDS
2002,12484.0,449.0,2.0,6.0,12.0,120.0,0.0,0.0,0.0,ANDAMAN & NICOBAR ISLANDS
2003,11494.0,445.0,2.0,9.0,18.0,97.0,0.0,0.0,0.0,ANDAMAN & NICOBAR ISLANDS
2004,11618.0,445.0,2.0,13.0,26.0,25.0,0.0,0.0,0.0,ANDAMAN & NICOBAR ISLANDS
2005,11658.0,445.0,2.0,10.0,20.0,53.0,0.0,0.0,0.0,ANDAMAN & NICOBAR ISLANDS
2006,11578.0,446.0,16.0,91.0,182.0,18.0,0.0,0.0,0.0,ANDAMAN & NICOBAR ISLANDS
2007,11858.0,450.0,36.0,75.0,150.0,23.0,0.0,0.0,0.0,ANDAMAN & NICOBAR ISLANDS
2008,11786.0,450.0,38.0,55.0,110.0,17.0,0.0,0.0,0.0,ANDAMAN & NICOBAR ISLANDS
2009,16060.0,584.0,20.0,38.0,76.0,21.0,0.0,0.0,0.0,ANDAMAN & NICOBAR ISLANDS
2010,17368.0,663.0,26.0,26.0,52.0,17.0,0.0,0.0,0.0,ANDAMAN & NICOBAR ISLANDS
2001,0.0,0.0,0.0,0.0,0.0,0.0,1316.0,6.0,130.0,ANDAMAN AND NICOBAR ISLANDS
2002,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,4.0,98.0,ANDAMAN AND NICOBAR ISLANDS
2003,0.0,0.0,0.0,0.0,0.0,0.0,1288.0,4.0,120.0,ANDAMAN AND NICOBAR ISLANDS
2004,0.0,0.0,0.0,0.0,0.0,0.0,1496.0,20.0,206.0,ANDAMAN AND NICOBAR ISLANDS
2005,0.0,0.0,0.0,0.0,0.0,0.0,1364.0,8.0,184.0,ANDAMAN AND NICOBAR ISLANDS
2006,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,12.0,202.0,ANDAMAN AND NICOBAR ISLANDS
2007,0.0,0.0,0.0,0.0,0.0,0.0,1614.0,6.0,224.0,ANDAMAN AND NICOBAR ISLANDS
2008,0.0,0.0,0.0,0.0,0.0,0.0,1764.0,24.0,256.0,ANDAMAN AND NICOBAR ISLANDS
2009,0.0,0.0,0.0,0.0,0.0,0.0,1882.0,36.0,268.0,ANDAMAN AND NICOBAR ISLANDS
2010,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,48.0,242.0,ANDAMAN AND NICOBAR ISLANDS
2011,0.0,0.0,0.0,0.0,0.0,0.0,1586.0,26.0,176.0,ANDAMAN AND NICOBAR ISLANDS
2012,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,24.0,142.0,ANDAMAN AND NICOBAR ISLANDS
2013,0.0,0.0,0.0,0.0,0.0,0.0,1224.0,54.0,74.0,ANDAMAN AND NICOBAR ISLANDS
